,trialid,registry,registration_date,enrollment_date,sponsors,recruitment_status,phase,study_type,countries,title,intervention_type,intervention,data_source,results_link,last_refreshed_on,first_seen
22,chictr2000029741,chictr,2020-02-11,2020-02-12,the fifth affiliated hospital of sun yat-sen university,recruiting,phase 4,interventional,china,"efficacy of chloroquine and lopinavir/ ritonavir in mild/general novel coronavirus (covid-19) infections: a prospective,open-label,multicenter randomized controlled clinical study",drug,combination: lopinavir/ritonavir + chloroquine,http://www.chictr.org.cn/showproj.aspx?proj=49263,no results,2020-02-17,2020-08-03
23,nct04251871,clinicaltrials.gov,2020-01-28,2020-01-22,beijing 302 hospital,recruiting,not applicable,interventional,china,treatment and prevention of traditional chinese medicines (tcms) on 2019-ncov infection,traditional medicine (unspecified),traditional medicine,https://clinicaltrials.gov/show/nct04251871,no results,2020-02-17,2020-08-03
24,nct04260594,clinicaltrials.gov,2020-02-06,2020-02-07,jieming qu,not recruiting,phase 4,interventional,no country given,clinical study of arbidol hydrochloride tablets in the treatment of pneumonia caused by novel coronavirus,drug,umifenovir,https://clinicaltrials.gov/show/nct04260594,no results,2020-02-17,2020-08-03
25,nct04261426,clinicaltrials.gov,2020-02-06,2020-02-10,peking union medical college hospital,not recruiting,phase 2/phase 3,interventional,no country given,the efficacy of intravenous immunoglobulin therapy for severe 2019-ncov infected pneumonia,drug,immunoglobulin,https://clinicaltrials.gov/show/nct04261426,no results,2020-02-17,2020-08-03
26,nct04261907,clinicaltrials.gov,2020-02-06,2020-02-07,the first affiliated hospital of zhejiang university,not recruiting,not applicable,interventional,no country given,evaluating and comparing the safety and efficiency of asc09/ritonavir and lopinavir/ritonavir for novel coronavirus infection,drug,lopinavir-ritonavir,https://clinicaltrials.gov/show/nct04261907,no results,2020-02-17,2020-08-03
27,chictr2000029637,chictr,2020-02-08,2020-02-07,guangdong provincial hospital of chinese medicine,not recruiting,not applicable,observational,china,an observational study for xin-guan-1 formula  in the treatment of novel coronavirus pneumonia (covid-19),traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49127,no results,2020-02-17,2020-08-03
28,chictr2000029636,chictr,2020-02-08,2020-02-09,"union hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,interventional,china,efficacy and safety of aerosol inhalation of vmip in the treatment of novel coronavirus pneumonia (covid-19): a single arm clinical trial,atmp,vaccine,http://www.chictr.org.cn/showproj.aspx?proj=49215,no results,2020-02-17,2020-08-03
29,chictr2000029695,chictr,2020-02-10,2020-03-01,shenzhen third people's hospital,not recruiting,not applicable,diagnostic test,china,early detection of novel coronavirus pneumonia (covid-19) based on a novel high-throughput mass spectrometry analysis with exhaled breath,diagnosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49219,no results,2020-02-17,2020-08-03
30,chictr2000029656,chictr,2020-02-09,2020-02-14,wuhan pulmonary hosptial,not recruiting,not applicable,interventional,china,"a randomized,open-label study to evaluate the efficacy and safety of low-dose corticosteroids in hospitalized patients with novel coronavirus pneumonia (covid-19)",drug,corticosteroids,http://www.chictr.org.cn/showproj.aspx?proj=49086,no results,2020-02-17,2020-08-03
31,chictr2000029883,chictr,2020-02-16,2020-02-17,"tongji hospital,tongji medical college,huazhong university of science and technology",not recruiting,not applicable,diagnostic test,china,a comparative study on the sensitivity of nasopharyngeal and oropharyngeal swabbing for the detection of sars-cov-2 by real-time pcr,diagnosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49549,no results,2020-02-17,2020-08-03
32,chictr2000029869,chictr,2020-02-15,2020-02-10,huangshi hospital of traditional chinese medicine,not recruiting,phase 4,interventional,china,"a multicenter,randomized,controlled trial for integrated chinese and western medicine in the treatment of ordinary novel coronavirus pneumonia (covid-19) based on the ' internal and external relieving -truncated torsion' strategy",traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49486,no results,2020-02-17,2020-08-03
33,chictr2000029941,chictr,2020-02-16,2020-03-01,longhua hospital affiliated to shanghai university of traditional chinese medicine,not recruiting,not applicable,interventional,china,a randomized controlled trial for traditional chinese medicine in the treatment for novel coronavirus pneumonia (covid-19),traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49596,no results,2020-02-17,2020-08-03
34,chictr2000029939,chictr,2020-02-16,2020-02-10,"hwa mei hospital,university of chinese academy of sciences",recruiting,not applicable,interventional,china,"a single-blind,randomized,controlled clinical trial for chloroquine phosphate in the treatment of novel coronavirus pneumonia 2019 (covid-19)",drug,chloroquine,http://www.chictr.org.cn/showproj.aspx?proj=49612,no results,2020-02-17,2020-08-03
35,chictr2000029907,chictr,2020-02-16,2020-02-16,west china hospital of sichuan university,not recruiting,not applicable,observational,china,study for construction and assessment of early warning score of the clinical risk of novel coronavirus (covid-19) infected patients,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49587,no results,2020-02-17,2020-08-03
36,chictr2000029905,chictr,2020-02-16,2020-02-10,zhongnan hospital of wuhan university,recruiting,not applicable,observational,china,a medical records based study of novel coronavirus pneumonia (covid-19) and influenza virus co-infection,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49595,no results,2020-02-17,2020-08-03
37,chictr2000029589,chictr,2020-02-05,2020-02-06,"beijing hospital of traditional chinese medicine,hubei provincial hospital of integrated chinese and western medicine",recruiting,not applicable,interventional,china,"an open,prospective,multicenter clinical study for the efficacy and safety of reduning injection in the treatment of ovel coronavirus pneumonia (covid-19)",traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49104,no results,2020-02-17,2020-08-03
38,chictr2000029578,chictr,2020-02-05,2020-02-06,zhejiang chinese medical university,recruiting,not applicable,interventional,china,"chinese medicine prevention and treatment program for novel coronavirus pneumonia (covid-19): a perspective,sing-arm trial",traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49080,no results,2020-02-17,2020-08-03
39,chictr2000029867,chictr,2020-02-15,2020-02-15,"beijing you'an hospital,capital medical university",recruiting,phase 4,interventional,china,"the efficacy and safety of carrimycin treatment in patients with novel coronavirus pneumonia (covid-19): a multicenter,randomized,open-label,controlled trial",drug,carrimycin,http://www.chictr.org.cn/showproj.aspx?proj=49514,no results,2020-02-17,2020-08-03
40,chictr2000029849,chictr,2020-02-15,2020-02-01,the first affiliated hospital of zhengzhou university,recruiting,not applicable,interventional,china,application of regulating intestinal flora in the treatment of severe novel coronavirus pneumonia (covid-19),atmp,intestinal microbiome,http://www.chictr.org.cn/showproj.aspx?proj=49530,no results,2020-02-17,2020-08-03
41,chictr2000029626,chictr,2020-02-07,2020-02-17,the first affiliated hospital of zhejiang university school of medicine,not recruiting,not applicable,basic science,china,immune repertoire (tcr & bcr) evaluation and immunotherapy research in peripheral blood of novel coronavirus pneumonia (covid-19),clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49170,no results,2020-02-17,2020-08-03
42,chictr2000029624,chictr,2020-02-07,2020-02-08,shanghai public health clinical center,not recruiting,not applicable,observational,china,a real world study for traditional chinese medicine in the treatment of novel coronavirus pneumonia (covid-19),traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49132,no results,2020-02-17,2020-08-03
43,chictr2000029518,chictr,2020-02-03,2020-02-04,zhejiang chinese medical university,recruiting,not applicable,interventional,china,"chinese medicine prevention and treatment program for novel coronavirus pneumonia (covid-19): a perspective,double-blind,placebo,randomised controlled trial",traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48860,no results,2020-02-17,2020-08-03
44,chictr2000029517,chictr,2020-02-03,2020-02-04,zhejiang chinese medical university,recruiting,not applicable,interventional,china,"chinese medicine prevention and treatment program for suspected novel coronavirus pneumonia (covid-19): a perspective,double-blind,placebo,randomised controlled trial",traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48861,no results,2020-02-17,2020-08-03
45,chictr2000029870,chictr,2020-02-15,2020-02-15,jiangsu institute of parasitic diseases,recruiting,not applicable,diagnostic test,china,evaluation of rapid diagnostic kit (igm/igg) for novel coronavirus pneumonia (covid-19),diagnosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49563,no results,2020-02-17,2020-08-03
46,chictr2000029855,chictr,2020-02-15,2020-02-15,the first affiliated hospital of medical college of zhejiang university,recruiting,not applicable,interventional,china,"a randomized,open and controlled clinical trial for traditional chinese medicine in the treatment of novel coronavirus pneumonia (covid-19)",traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49543,no results,2020-02-17,2020-08-03
47,chictr2000029822,chictr,2020-02-14,2020-02-07,nanjing second hospital,recruiting,not applicable,interventional,no country given,a randomized controlled trial for honeysuckle decoction in the treatment of patients with novel coronavirus (covid-19) infection,traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49502,no results,2020-02-17,2020-08-03
48,chictr2000029815,chictr,2020-02-14,2020-02-01,guangdong provincial hospital of chinese medicine,recruiting,not applicable,observational,china,psychological survey of frontline medical staff in various regions of china during the epidemic of novel coronavirus pneumonia (covid-19),traditional medicine (other),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49346,no results,2020-02-17,2020-03-18
49,chictr2000029601,chictr,2020-02-06,2020-02-01,hubei hospital of traditional chinese medicine,recruiting,not applicable,interventional,china,community based prevention and control for chinese medicine in the treatment of novel coronavirus pneumonia (covid-19) in the isolate suspected and confirmed population,traditional medicine (other),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48988,no results,2020-02-17,2020-08-03
50,chictr2000029569,chictr,2020-02-04,2020-02-05,xiangyang first people's hospital,not recruiting,not applicable,interventional,china,safety and efficacy of umbilical cord blood mononuclear cells conditioned medium in the treatment of severe and critically novel coronavirus pneumonia (covid-19): a randomized controlled trial,atmp,"cells,mononuclear",http://www.chictr.org.cn/showproj.aspx?proj=49062,no results,2020-02-17,2020-08-03
51,chictr2000029495,chictr,2020-02-02,2020-02-03,"xinhua affiliated hospital,hubei university of chinese medicine; hubei provincial hospital of integrated chinese and western medicine",not recruiting,not applicable,interventional,china,"traditional chinese medicine,psychological intervention and investigation of mental health for patients with novel coronavirus pneumonia (covid-19) in convalescent period",traditional medicine (other),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48971,no results,2020-02-17,2020-08-03
52,chictr2000029493,chictr,2020-02-02,2020-02-03,"xinhua affiliated hospital,hubei university of chinese medicine; hubei provincial hospital of integrated chinese and western medicine",not recruiting,not applicable,interventional,china,"traditional chinese medicine for pulmonary fibrosis,pulmonary function and quality of life in patients with novel coronavirus pneumonia (covid-19) in convalescent period: a randomized controlled trial",traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48931,no results,2020-02-17,2020-08-03
53,chictr2000029813,chictr,2020-02-14,2020-02-14,shanghai public health clinical center,recruiting,not applicable,interventional,china,clinical trial for tanreqing capsules in the treatment of novel coronavirus pneumonia (covid-19),traditional medicine (other),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49425,no results,2020-02-17,2020-08-03
54,chictr2000029806,chictr,2020-02-14,2020-02-12,wuhan jinyintan hospital (wuhan infectious diseases hospital),recruiting,not applicable,interventional,china,immunomodulatory therapy for severe novel coronavirus pneumonia (covid-19),drug,combination: pd1 + thymosin,http://www.chictr.org.cn/showproj.aspx?proj=49161,no results,2020-02-17,2020-08-03
55,chictr2000029853,chictr,2020-02-15,2020-02-16,people's hospital of guangshan county,recruiting,not applicable,interventional,china,"a randomized,open-label,controlled clinical trial for azvudine in the treatment of novel coronavirus pneumonia (covid-19)",drug,azvudine,http://www.chictr.org.cn/showproj.aspx?proj=49532,no results,2020-02-17,2020-08-03
56,chictr2000029839,chictr,2020-02-15,2020-02-10,ningbo first hospital,recruiting,phase 4,observational,china,"an observational study on the clinical characteristics,treatment and outcome of novel coronavirus pneumonia (covid-19)",clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49439,no results,2020-02-17,2020-08-03
57,chictr2000029542,chictr,2020-02-03,2020-02-03,sun yat sen memorial hospital of sun yat sen university,recruiting,phase 4,interventional,china,study for the efficacy of chloroquine in patients with novel coronavirus pneumonia (covid-19),drug,chloroquine,http://www.chictr.org.cn/showproj.aspx?proj=48968,no results,2020-02-17,2020-08-03
58,chictr2000029539,chictr,2020-02-03,2020-02-04,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,interventional,china,"a randomized,open-label study to evaluate the efficacy and safety of lopinavir-ritonavir in patients with mild novel coronavirus pneumonia (covid-19)",drug,lopinavir-ritonavir,http://www.chictr.org.cn/showproj.aspx?proj=48991,no results,2020-02-17,2020-08-03
59,chictr2000029790,chictr,2020-02-13,2020-02-17,shanghai pulmonary hospital,recruiting,not applicable,interventional,china,clinical study for the integration of traditional chinese and western medicine in the treatment of novel coronavirus pneumonia (covid-19),traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49453,no results,2020-02-17,2020-08-03
60,chictr2000029788,chictr,2020-02-13,2020-03-01,dongzhimen hospital affiliated to beijing university of chinese medicine,not recruiting,not applicable,interventional,china,traditional chinese medicine cooperative therapy for patients with novel coronavirus pneumonia (covid-19): a randomized controlled trial,traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49452,no results,2020-02-17,2020-08-03
61,chictr2000029432,chictr,2020-02-01,2020-02-01,the first afflicated hospital of guangzhou university of chinese medicine,not recruiting,phase 4,interventional,china,a real world study for the efficacy and safety of large dose tanreqing injection in the treatment of patients with novel coronavirus pneumonia (covid-19),traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48881,no results,2020-02-17,2020-08-03
62,chictr2000029431,chictr,2020-02-01,2020-01-29,affiliated zhongshan hospital of dalian university,recruiting,not applicable,interventional,china,clinical study for the remedy of m1 macrophages target in the treatment of novel coronavirus pneumonia (covid-19),traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48907,no results,2020-02-17,2020-08-03
63,chictr2000029821,chictr,2020-02-14,2020-02-14,deyang integrated traditional chinese and western medicine hospital,not recruiting,not applicable,prevention,china,based on delphi method to preliminarily construct a recommended protocol for the prevention of novel coronavirus pneumonia (covid-19) in deyang area by using chinese medicine technology and its clinical application evaluation,traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49306,no results,2020-02-17,2020-08-03
64,chictr2000029819,chictr,2020-02-14,2020-02-11,"sir run run shaw hospital,school of medicine,zhejiang university",recruiting,phase 4,interventional,china,ba-bao-dan in the adjuvant therapy of novel coronavirus pneumonia (covid-19) patients,traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49490,no results,2020-02-17,2020-08-03
65,chictr2000029462,chictr,2020-02-02,2020-02-01,the first affiliated hospital of he'nan university of chinese medicine,not recruiting,not applicable,observational,china,study for clinical characteristics and distribution of tcm syndrome of novel coronavirus pneumonia (covid-19),traditional medicine (other),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48922,no results,2020-02-17,2020-08-03
66,chictr2000029438,chictr,2020-02-01,2020-02-04,"beijing hospital of traditional chinese medicine,hubei provincial hospital of integrated chinese and western medicine",not recruiting,phase 4,interventional,china,a randomized controlled trial of integrated tcm and western medicine in the treatment of severe novel coronavirus pneumonia (covid-19),traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48911,no results,2020-02-17,2020-08-03
67,chictr2000029765,chictr,2020-02-13,2020-02-10,the first affiliated hospital of university of science and technology of china (anhui provincial hospital),recruiting,phase 4,interventional,china,"a multicenter,randomized controlled trial for the efficacy and safety of tocilizumab in the treatment of new coronavirus pneumonia (covid-19)",drug,tocilizumab,http://www.chictr.org.cn/showproj.aspx?proj=49409,no results,2020-02-17,2020-08-03
68,chictr2000029763,chictr,2020-02-12,2020-02-13,"china academy of chinese medical sciences,zhongnan hospital of wuhan university",recruiting,not applicable,interventional,china,"the efficacy of traditional chinese medicine on novel coronavirus pneumonia (covid-19) patients treated in square cabin hospital: a prospective,randomized controlled trial",traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49408,no results,2020-02-17,2020-08-03
69,chictr2000029804,chictr,2020-02-14,2020-02-12,wuhan jinyintan hospital (wuhan infectious diseases hospital),recruiting,not applicable,prognosis,china,clinical application of ecmo in the treatment of patients with very serious respiratory failure due to novel coronavirus pneumonia (covid-19),drug,oxygen,http://www.chictr.org.cn/showproj.aspx?proj=49178,no results,2020-02-17,2020-08-03
70,chictr2000029769,chictr,2020-02-13,2020-02-15,enze hospital of taizhou enze medical center (group),not recruiting,not applicable,interventional,china,babaodan capsule used for the adjuvant treatment of severe novel coronavirus pneumonia (covid-19),traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49415,no results,2020-02-17,2020-08-03
71,chictr2000029436,chictr,2020-02-01,2020-02-01,the first hospital of he'nan university of chinese medicine,not recruiting,not applicable,interventional,china,a single arm study for evaluation of integrated traditional chinese and western medicine in the treatment of novel coronavirus pneumonia (covid-19),traditional medicine + western medicine,traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48884,no results,2020-02-17,2020-08-03
72,chictr2000029418,chictr,2020-01-30,2020-02-03,dongzhimen hospital affiliated to beijing university of chinese medicine,recruiting,not applicable,interventional,china,chinese herbal medicine for severe nevel coronavirus pneumonia (covid-19): a randomized controlled trial,traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=48886,no results,2020-02-17,2020-08-03
73,chictr2000029758,chictr,2020-02-12,2020-02-03,west china hospital of sichuan university,recruiting,not applicable,observational,china,cohort study of novel coronavirus pneumonia (covid-19) critical ill patients,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49295,no results,2020-02-17,2020-08-03
74,chictr2000029756,chictr,2020-02-12,2020-02-15,renmin hospital of wuhan university,recruiting,not applicable,interventional,china,clinical study of nebulized xiyanping injection in the treatment of novel coronavirus pneumonia (covid-19),traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49222,no results,2020-02-17,2020-08-03
75,chictr2000029768,chictr,2020-02-13,2020-02-12,zhongnan hospital of wuhan university,recruiting,not applicable,interventional,china,"a randomized,open,controlled trial for diammonium glycyrrhizinate enteric-coated capsules combined with vitamin c tablets in the treatment of common novel coronavirus pneumonia (covid-19) in the basic of clinical standard antiviral treatment to evaluate",drug,combination: diammonium glycyrrhizinate + vitamin c,http://www.chictr.org.cn/showproj.aspx?proj=49131,no results,2020-02-17,2020-08-03
76,chictr2000029754,chictr,2020-02-12,2020-02-10,west china hospital of sichuan university,recruiting,not applicable,observational,china,study for the effect of novel coronavirus pneumonia (covid-19) on the health of different people,clinical presentation,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49370,no results,2020-02-17,2020-08-03
77,chictr2000030173,chictr,2020-02-24,2020-02-17,"hunan yuanpin cell biotechnology co.,ltd",not recruiting,not applicable,interventional,china,key techniques of umbilical cord mesenchymal stem cells for the treatment of novel coronavirus pneumonia (covid-19) and clinical application demonstration,atmp,"cells,mesenchymal",http://www.chictr.org.cn/showproj.aspx?proj=49229,no results,2020-02-25,2020-08-03
78,chictr2000030166,chictr,2020-02-24,2020-02-25,the 5th medical center chinese pla general hospital,not recruiting,not applicable,interventional,china,"randomized,parallel control,open trial for qing-wen bai-du-yin combined with antiviral therapy in the treatment of novel coronavirus pneumonia (covid-19)",traditional medicine (drug),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49696,no results,2020-02-25,2020-08-03
79,chictr2000029751,chictr,2020-02-12,2020-02-01,the first affiliated hospital of zhejiang university of traditional chinese medicine,recruiting,not applicable,observational,china,clinical study for traditional chinese medicine in the prevention and treatment of novel coronavirus pneumonia (covid-19),traditional medicine (unspecified),traditional medicine,http://www.chictr.org.cn/showproj.aspx?proj=49354,no results,2020-02-17,2020-08-03
80,chictr2000029735,chictr,2020-02-10,2020-01-26,"tongji hospital,tongji medical college,huazhong university of science and technology",recruiting,not applicable,observational,china,risks of death and severe cases in patients with 2019 novel coronavirus pneumonia (covid-19),prognosis,no intervention,http://www.chictr.org.cn/showproj.aspx?proj=49279,no results,2020-02-17,2020-08-03
