8,No,Regeneron Therapeutic,,Regeneron Therapeutic,Regeneron; HHS,Therapeutic,COVID-19,Protein-based (including monoclonal antibodies),Monoclonal antibodies,New,,United States,Ongoing,Plan to start human trials in summer 2020. Technique was previously used to develop successful REGN-EB3 ebola treatment.,,Discovery,,2/4/2020,,,,,,,,,,,,,,,,,,,,,,,Matthew,4/1/2020,,,
8,Yes,https://investor.regeneron.com/index.php/news-releases/news-release-details/regeneron-announces-expanded-collaboration-hhs-develop-antibody,,https://investor.regeneron.com/index.php/news-releases/news-release-details/regeneron-announces-expanded-collaboration-hhs-develop-antibody,https://investor.regeneron.com/index.php/news-releases/news-release-details/regeneron-announces-expanded-collaboration-hhs-develop-antibody,https://investor.regeneron.com/index.php/news-releases/news-release-details/regeneron-announces-expanded-collaboration-hhs-develop-antibody,https://investor.regeneron.com/index.php/news-releases/news-release-details/regeneron-announces-expanded-collaboration-hhs-develop-antibody,https://investor.regeneron.com/index.php/news-releases/news-release-details/regeneron-announces-expanded-collaboration-hhs-develop-antibody,https://investor.regeneron.com/index.php/news-releases/news-release-details/regeneron-announces-expanded-collaboration-hhs-develop-antibody,https://investor.regeneron.com/index.php/news-releases/news-release-details/regeneron-announces-expanded-collaboration-hhs-develop-antibody,,https://investor.regeneron.com/index.php/news-releases/news-release-details/regeneron-announces-expanded-collaboration-hhs-develop-antibody,https://newsroom.regeneron.com/index.php/news-releases/news-release-details/regeneron-announces-important-advances-novel-covid-19-antibody,https://www.regeneron.com/covid19,,https://newsroom.regeneron.com/index.php/news-releases/news-release-details/regeneron-announces-important-advances-novel-covid-19-antibody,,https://investor.regeneron.com/index.php/news-releases/news-release-details/regeneron-announces-expanded-collaboration-hhs-develop-antibody,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,No,Vaxart Vaccine,Vaxart Vaccine,Vaxart Vaccine,Vaxart,Vaccine - Prophylactic,COVID-19,Subunit Vaccines,,New,Emergent,United States,Ongoing,Oral tablet. Recombinant vaccine. Plan to initiate Phase I trial in second half of 2020.,,Discovery,,3/18/2020,,,,,,,,,,,,,,,,,,,,,,,Matthew,3/30/2020,,,
9,Yes,Vaxart Vaccine,Vaxart Vaccine,,https://investors.vaxart.com/news-releases/news-release-details/vaxart-announces-it-entered-agreement-emergent-biosolutions,https://investors.vaxart.com/news-releases/news-release-details/vaxart-announces-it-entered-agreement-emergent-biosolutions,https://investors.vaxart.com/news-releases/news-release-details/vaxart-announces-it-entered-agreement-emergent-biosolutions,https://investors.vaxart.com/news-releases/news-release-details/vaxart-announces-it-entered-agreement-emergent-biosolutions,,https://investors.vaxart.com/news-releases/news-release-details/vaxart-announces-it-entered-agreement-emergent-biosolutions,https://investors.vaxart.com/news-releases/news-release-details/vaxart-announces-it-entered-agreement-emergent-biosolutions,,https://investors.vaxart.com/news-releases/news-release-details/vaxart-announces-it-entered-agreement-emergent-biosolutions,https://investors.vaxart.com/news-releases/news-release-details/vaxart-announces-it-entered-agreement-emergent-biosolutions,,https://investors.vaxart.com/news-releases/news-release-details/vaxart-announces-it-entered-agreement-emergent-biosolutions,,https://investors.vaxart.com/news-releases/news-release-details/vaxart-announces-it-entered-agreement-emergent-biosolutions,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,No,University of Queensland Vaccine,University of Queensland Vaccine,,University of Queensland,Vaccine - Prophylactic,COVID-19,Subunit Vaccines,,New,CEPI; The Queensland Government; Paul Ramsay Foundation; a2 Milk Company,Australia,Ongoing,Plans for clinical trials in July in Queensland.,,Discovery,,1/24/2020,,,,,,,,,,,,,,,,,,,,,,,Matthew,3/30/2020,,,
10,Yes,University of Queensland Vaccine,University of Queensland Vaccine,,https://www.uq.edu.au/news/article/2020/01/race-develop-coronavirus-vaccine,https://www.uq.edu.au/news/article/2020/01/race-develop-coronavirus-vaccine,https://www.uq.edu.au/news/article/2020/01/race-develop-coronavirus-vaccine,https://www.uq.edu.au/news/article/2020/01/race-develop-coronavirus-vaccine,,https://www.uq.edu.au/news/article/2020/01/race-develop-coronavirus-vaccine,https://stories.uq.edu.au/news/2020/17m-shot-in-the-arm-for-uq-covid-19-vaccine-research/index.html,https://www.uq.edu.au/news/article/2020/01/race-develop-coronavirus-vaccine,https://stories.uq.edu.au/news/2020/17m-shot-in-the-arm-for-uq-covid-19-vaccine-research/index.html,https://stories.uq.edu.au/news/2020/17m-shot-in-the-arm-for-uq-covid-19-vaccine-research/index.html,,https://stories.uq.edu.au/news/2020/17m-shot-in-the-arm-for-uq-covid-19-vaccine-research/index.html,,https://www.uq.edu.au/news/article/2020/01/race-develop-coronavirus-vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,No,VIDO-InterVac Vaccine Candidate,VIDO-InterVac Vaccine Candidate,,International Vaccine Centre; University of Saskatchewan,Vaccine - Prophylactic,COVID-19,Unknown,Unknown,New,Canadian Federal Government,Canada,Ongoing,,,Pre-Clinical Testing,,02/01/2020,ONGOING,,,,,,,,,,,,,,,,,,,,,,Arshy,03/29/2020,,,
11,Yes,https://www.technologynetworks.com/tn/news/12m-awarded-for-new-covid-19-vaccine-manufacturing-efforts-332506,https://www.technologynetworks.com/tn/news/12m-awarded-for-new-covid-19-vaccine-manufacturing-efforts-332506,,,https://www.cbc.ca/news/health/coronavirus-covid-19-vido-intervac-saskatchewan-vaccine-1.5508114?__vfz=medium%3Dsharebar,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,No,ChAdOx1 nCoV-19,ChAdOx1 nCoV-19,,Jenner Institute; Oxford Vaccine Group,Vaccine - Prophylactic,COVID-19,Subunit Vaccines,Unknown,New,University of Oxford,United Kingdom,Ongoing,,,Phase 1,,,,,,,03/20/2020,,,,,,1,COVID-19,510,Yes,,,,,,,,,Arshy,03/29/2020,,,
12,Yes,ChAdOx1,ChAdOx1,https://economictimes.indiatimes.com/news/international/world-news/oxford-university-begins-enrolling-over-500-volunteers-for-coronavirus-vaccine-trial/articleshow/74864754.cms,https://www.ovg.ox.ac.uk/news/covid-19-vaccine-development,https://www.clinicaltrials.gov/ct2/show/NCT04324606,COVID-19,,,,,,,,,,,,,,,,,,,,,,https://www.jackfm.co.uk/news/oxfordshire-news/oxford-uni-clinical-trials-for-covid-19-vaccine-could-begin-next-month/,,,,,,,,,,,,,,,,
13,No,NIV Pune Vaccine Candidate,NIV Pune Vaccine Candidate,,National Institute of Virology-Pune,Vaccine - Prophylactic,COVID-19,Unknown,Unknown,New,,India,Ongoing,,,Discovery,,,,,,,,,,,,,,,,,,,,,,,,,Arshy,03/29/2020,,,
13,Yes,https://www.livemint.com/news/india/covid-19-india-becomes-5th-country-globally-to-isolate-virus-strain-11584102221498.html,https://www.livemint.com/news/india/covid-19-india-becomes-5th-country-globally-to-isolate-virus-strain-11584102221498.html,,,,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,No,,,,Chinese Center for Disease Control and Prevention; Tongji University School of Medicine; Stermirna Therapeutics Co. Ltd,Vaccine - Prophylactic,COVID-19,Nucleic acid based therapies/vaccines,Unknown,New,Stermirna Therapeutics Co. Ltd,China,Ongoing,Animal Testing,,Pre-Clinical Testing,,01/24/2020,02/10/2020,,,,,,,,,,,,,,,,,,,,,,Zain,04/01/2020,,,
14,Yes,,,,http://www.xinhuanet.com/english/2020-02/10/c_138771569.htm,http://www.xinhuanet.com/english/2020-02/10/c_138771569.htm,http://www.xinhuanet.com/english/2020-02/10/c_138771569.htm,http://www.xinhuanet.com/english/2020-02/10/c_138771569.htm,http://www.xinhuanet.com/english/2020-02/10/c_138771569.htm,http://www.xinhuanet.com/english/2020-02/10/c_138771569.htm,http://www.xinhuanet.com/english/2020-02/10/c_138771569.htm,http://www.xinhuanet.com/english/2020-02/10/c_138771569.htm,http://www.xinhuanet.com/english/2020-02/10/c_138771569.htm,http://www.xinhuanet.com/english/2020-02/10/c_138771569.htm,,http://www.xinhuanet.com/english/2020-02/10/c_138771569.htm,,http://www.xinhuanet.com/english/2020-02/10/c_138771569.htm,http://www.xinhuanet.com/english/2020-02/10/c_138771569.htm,,,,,,,,,,,,,,,,,,,,,,,,,,
15,No,DelNS1-SARS-CoV2-RBD LAIV,DelNS1-SARS-CoV2-RBD LAIV,University of Hong Kong Vaccine,University of Hong Kong,Vaccine - Prophylactic,COVID-19,Whole-pathogen vaccines,,New,CEPI; Xiamen University; Changchun-Baike; Hualan-Bio; Beijing Wantai; Sinovac; CNBG,China,Ongoing,Live-attenuated vaccine. Plans for clinical trials in July. Proof of concept testing done using MeRS-CoV and various animal models.,,Pre-Clinical Testing,,,,,,,,,,,,,,,,,,,,,,,,,Matthew,3/30/2020,,,
15,Yes,DelNS1-SARS-CoV2-RBD LAIV,DelNS1-SARS-CoV2-RBD LAIV,,https://fightcovid19.hku.hk/hku-state-key-laboratory-for-emerging-infectious-diseases-joins-global-effort-to-develop-covid-19-vaccine/,https://www.hku.hk/press/news_detail_20788.html,https://www.hku.hk/press/news_detail_20788.html,https://www.hku.hk/press/news_detail_20788.html,,https://www.hku.hk/press/news_detail_20788.html,https://www.hku.hk/press/news_detail_20788.html,https://www.hku.hk/press/news_detail_20788.html,https://www.hku.hk/press/news_detail_20788.html,https://www.hku.hk/press/news_detail_20788.html,,https://www.hku.hk/press/news_detail_20788.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,No,,,,CureVac AG,Vaccine - Prophylactic,COVID-19,Nucleic acid based therapies/vaccines,Unknown,New,CEPI,Germany,Ongoing,Not named yet; 2 products currently undergoing animal studies; plan to start a clinical trial in early summer,,Pre-Clinical Testing,,,,,,,,,,,,,,,,,,,,,,,,,Okezi,04/01/2020,,,
16,Yes,https://www.curevac.com/our-pipeline,,,https://www.curevac.com/news/curevac-focuses-on-the-development-of-mrna-based-coronavirus-vaccine-to-protect-people-worldwide,,COVID-19,,,,https://www.curevac.com/our-pipeline,,,https://www.youtube.com/watch?v=1ZMWJJyoK7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,No,Ad5-nCoV,Ad5-nCoV,,CanSino Biologics Inc.,Vaccine - Prophylactic,COVID-19,Gene therapies,Other,New,Institute of Biotechnology-Academy of Military Medical Sciences-PLA of China; Jiangsu Province Centers for Disease Control and Prevention; Hubei Provincial Center for Disease Control and Prevention; Tongji Hospital,China,Ongoing,"Vaccine candidate is genetically engineered with the replication-defective adenovirus type 5 as the vector to express SARS-CoV-2 spike protein; Immunogenic action; Current study is assessing evaluate the safety, reactogenicity and immunogenicity; Active but not recruiting",,Phase 1,,,,,,Yes,03/16/2020,,,No,,,1,COVID 19,108,Yes,1,Hubei Provincial Center for Disease Control and Prevention - Wuhan - Hubei China,03/16/2020,12/30/2020,12/20/2020,,Not recruiting,,Okezi,04/01/2020,,,
17,Yes,Ad5-nCoV,Ad5-nCoV,,https://clinicaltrials.gov/ct2/show/NCT04313127?term=ad5-ncov&draw=2&rank=1,,COVID-19,,,,https://clinicaltrials.gov/ct2/show/NCT04313127?term=ad5-ncov&draw=2&rank=1,,,https://www.bioworld.com/articles/433791-china-approves-first-homegrown-covid-19-vaccine-to-enter-clinical-trials  https://www.youtube.com/watch?v=1ZMWJJyoK7A,,,,,,,,,https://clinicaltrials.gov/ct2/show/NCT04313127?term=ad5-ncov&draw=2&rank=1,,,,,,https://clinicaltrials.gov/ct2/show/NCT04313127?term=ad5-ncov&draw=2&rank=1,https://clinicaltrials.gov/ct2/show/NCT04313127?term=ad5-ncov&draw=2&rank=1,https://clinicaltrials.gov/ct2/show/NCT04313127?term=ad5-ncov&draw=2&rank=1,,https://clinicaltrials.gov/ct2/show/NCT04313127?term=ad5-ncov&draw=2&rank=1,https://clinicaltrials.gov/ct2/show/NCT04313127?term=ad5-ncov&draw=2&rank=1,https://clinicaltrials.gov/ct2/show/NCT04313127?term=ad5-ncov&draw=2&rank=1,https://clinicaltrials.gov/ct2/show/NCT04313127?term=ad5-ncov&draw=2&rank=1,,,,,,,,,
18,No,,,,GeoVax Labs Inc.,Vaccine - Prophylactic,COVID-19,Unknown,Unknown,New,BravoVax,United States,Ongoing,Using existing vaccine platform called GV-MVA-VLP; 3 candidates have been identified; animal trials soon to begin,,Discovery,,,,,,,,,,,,,,,,,,,,,,,,,Okezi,04/01/2020,,,
18,Yes,https://www.geovax.com/news/geovax-progresses-in-coronavirus-covid-19-vaccine-development-program,,https://www.geovax.com/news/geovax-progresses-in-coronavirus-covid-19-vaccine-development-program,https://www.geovax.com/news/geovax-progresses-in-coronavirus-covid-19-vaccine-development-program,,COVID-19,,,,,,,https://www.geovax.com/technology-pipeline/pipeline-summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,No,INO-4700,INO-4700,,Inovio Pharmaceuticals Inc.; GeneOne Life Science,Vaccine - Prophylactic,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Yes,INO-4700,INO-4700,,,,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,No,,,,Medicago,Vaccine - Prophylactic,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Yes,,,,,,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,No,NasoVax Analog (Not Currently Specified),NasoVax Analog (Not Currently Specified),NasoVAX,Altimmune,Vaccine - Prophylactic,COVID-19,Nucleic acid based therapies/vaccines,Unknown,Repurposed-Approved,Altimmune,United Sates,Ongoing,Repurposing NasoVax Platform (Recombinant intranasal delivery) for Covid19 Vaccine,,Pre-Clinical Testing,,02/26/2020,,,,,08/01/2020,,,,,,,COVID-19,,,,,,,,,,,Joseph Malinao,04/02/2020,,,
21,Yes,https://www.precisionvaccinations.com/vaccines/nasovax-influenza-vaccine,,https://www.precisionvaccinations.com/vaccines/nasovax-influenza-vaccine,https://ir.altimmune.com/news-releases/news-release-details/altimmune-completes-first-development-milestone-toward-single,,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,No,Avian Coronavirus Infectious Bronchitis Virus (IBV) vaccine,Avian Coronavirus Infectious Bronchitis Virus (IBV) vaccine,IBV,MIGAL Research Institute,Vaccine - Prophylactic,COVID-19,Whole-pathogen vaccines,Unknown,Repurposed-Not Approved,"Israel Innovation Authority,  Health Ministry and the Headquarters of the National Digital Israel Initiative",Israel,Ongoing,Adaption of Avian CoronaVirus Infectious Bronchitis Virus Vaccine for Human Use,,Phase 1,,02/27/2020,,,,,,,,,,,,,,,,,,,,,,,Joseph Malinao,04/02/2020,,,
22,Yes,Avian Coronavirus Infectious Bronchitis Virus (IBV) vaccine,Avian Coronavirus Infectious Bronchitis Virus (IBV) vaccine,,https://www.trialsitenews.com/israel-government-announces-13m-covid-19-research-funds-while-migals-claims-a-covid-19-breakthrough/,,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,No,TNX-1800,TNX-1800,,Tonix Pharmaceuticals,Therapeutic,COVID-19,Protein-based (including monoclonal antibodies),,New,,United States,Ongoing,,,Discovery,,,,,,,,,,,,,,,,,,,,,,,,,Anusha Joshi,4/1/2020,,,
23,Yes,https://www.tonixpharma.com/,https://www.tonixpharma.com/,,,,COVID-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
